"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025","Search Volume 1/2026","Search Volume 2/2026","Search Volume 3/2026"
"pv anlagen anbieter oberösterreich",0,10,10,,"Germany","",,,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10,0,10,0,10,10,10,10,0,10,10,10,0,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,0,0,10,10,0,0,0,0,0,10,10,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"pv anlage anbieter deggendorf",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anlage anbieter leipzig",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anlagen anbieter baden württemberg",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anlagen anbieter saarland",10,10,10,10,"Germany","8.84",57,15,-100,"HOMEPAGES","","Missing words in title","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,20,30,50,10,70,20,110,50,30,50,50,70,70,40,50,40,30,20,30,20,20,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,0,10,10,10,0,10,10,0,10,0,10
"anbieter pv anlage mit speicher",10,10,10,10,"Germany","16.94",71,20,100,"LISTICLES, HOMEPAGES","","Missing words in title","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,10,10,10,10,30,20,30,30,20,50,20,50,20,10,10,10,10,10,10,20,20,50,30,30,10,20,20,10,10,10,10,10,10,10,20,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"pv anbieter bremen",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anbieter bielefeld",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anbieter berlin",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anbieter bamberg",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anbieter bayern",10,10,10,10,"Germany","9.05",96,21,0,"HOMEPAGES, LISTICLES","","Missing words in title","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,10,10,10,10,10,10,10,30,90,10,30,20,30,10,20,70,70,20,10,30,30,20,20,20,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10
"pv anbieter braunschweig",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anbieter burgenland",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anlage bester anbieter",,,,,"Germany","",,26,,"LISTICLES","","Missing words in title","Featured Snippet","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"beste pv anbieter deutschland",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bester pv anbieter 2024",,,,,"Germany","",,,,"LISTICLES, CORPORATE_BLOG_POSTS","","Missing words in title","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bewertung pv anbieter",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv cloud anbieter",10,10,10,10,"Germany","3.08",70,,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,30,30,50,50,90,50,10,20,20,20,10,70,90,10,20,30,90,170,170,260,320,70,50,50,30,20,40,10,30,30,30,10,10,10,10,50,10,10,30,20,10,20,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20
"pv contracting anbieter",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv anlage anbieter cuxhaven",,,,,"Germany","",,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pv strom cloud anbieter",10,10,10,10,"Germany","2.15",78,,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,20,10,30,40,50,70,30,40,50,20,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,20
